patent_id,title,authors,abstract,detail_url,application_no,publication_no,registration_no,application_date,publication_date,registration_date,ipc,pdf_links,score,matched_keywords
P53461,液液系多段装置及びそれを用いた特定物質の製造方法,長縄 弘親 ; 永野 哲志 ; 鈴木 英哉; not registered,互いに混じり合わない2つの液相から成る液液系において、重液相と軽液相が成す界面(液液界面)の位置が変動しない又は変動が抑制される多段の装置及びそれを用いた特定物質の製造方法を提供する。 隣接した複数の容器の連結体又は複数の仕切りを配した一体構造の容器に設置された2つ以上の段において、重液相が容器下部において連通しているか、若しくは軽液相が容器上部において連通しているか、又はその両方である仕組みを利用し、重液相と軽液相が成す界面(液液界面)の位置が変動しない又は変動が抑制されるように多段抽出を行う装置及びそれを用いた特定物質の製造方法。,https://jopss.jaea.go.jp/search/servlet/search?P53461,10-2023-7005806,WO2022/220017A1,,2022/03/18,2022/10/20,,B01D 11/04,https://jopss.jaea.go.jp/pdfdata/P1/P53461A.pdf,0,
P53223,薄膜インダクタ素子及び薄膜可変インダクタ素子,家田 淳一,山根 結太* ; 深見 俊輔*,https://jopss.jaea.go.jp/search/servlet/search?P53223,111106822,202240610,I906482,2022/02/24,2022/10/16,2025/12/01,H01F 10/10 (2006.01):H01F 21/02 (2006.01):H01F 41/02 (2006.01):H01L 23/64 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53223A.pdf,0,
P52540,耐放射線直管型LEDランプ及び照明装置,船越 智雅 ; 篠崎 忠宏 ; 小林 雄樹 ; 薩田 将年; 矢島 裕史* ; 正岡 秀樹* ; 村上 昭二*,"【課題】原子力施設で用いるのに適したランプを提供する。 【解決手段】耐放射線直管型LEDランプ(10)は、表面に無機絶縁反射膜が形成された光源基板、及び光源基板の無機絶縁反射膜上に実装されたLED素子を有する光源部(12)と、前面で光源部を支持し、背面に複数のフィン(11C)が立設されたヒートシンク(11)と、ヒートシンクの長手方向の両側の端面それぞれに取り付けられて、電力が供給されるソケットに着脱される口金(13A,13B)と、ヒートシンクの端面及び口金の間に配置されるリングパッキン(14A,14B,15A,15B)と、口金及びLED素子を電気的に接続する導電線(28A,28B)とを備え、ヒートシンクは、端面と前面とに開口する内部通路(11F,11G)を有し、導電線は、リングパッキンの内側及び内部通路を通って、口金及びLED素子を電気的に接続する。",https://jopss.jaea.go.jp/search/servlet/search?P52540,2021-049719,2022-148150,7521755,2021/03/24,2022/10/06,2024/07/16,G21C 19/02 (2006.01):F21K 9/275 (2016.01):F21K 9/278 (2016.01):F21S 2/00 (2016.01):F21V 17/00 (2006.01):F21V 19/00 (2006.01):F21V 23/00 (2015.01):F21V 29/503(2015.01):F21V 29/76 (2015.01):4 others...,https://jopss.jaea.go.jp/pdfdata/P1/P52540A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52540A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52540B.pdf,0,
P52560,水系における防食剤および防食方法,大谷 恭平 ; 加藤 千明; not registered,【課題】本発明は、添加コストや排水の水処理コストが低い防食剤および防食方法を提供することを課題とする。 【解決手段】本発明は、(A)乳酸アルミニウム、および(B)無機酸塩および有機酸塩から選ばれる1種または2種類以上を含有する、水系における金属部材の防食剤、および同防食剤を用いた水系における金属部材の防食方法を提供する。,https://jopss.jaea.go.jp/search/servlet/search?P52560,2021-043875,2022-143394,6932409,2021/03/17,2022/10/03,2021/08/20,C23F 11/08 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52560A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52560A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52560B.pdf,0,
P52620,水素同位体濃縮装置,保田 諭 ; 朝岡 秀人; 松島 永佳*,【課題】水素と重水素の混合ガスから気体状態の重水素を安価に得る。 【解決手段】第1電極11は水素(H成分、D成分)を透過させる金属(水素透過金属)で構成された電極であり、この水素透過金属は例えばPDである。第1電極11を透過したHイオン、Dイオンは、プロトン伝導層20中を第2電極12側に流れる。第1電極11が陽極として、第2電極12が陰極として用いられた場合、Hイオン、Dイオンはプロトン伝導層20中を図中左側から右側に流れる。この際、入力ガスにおける水素成分が重水素成分よりも陰極側の雰囲気中に流れやすくなり、入力ガス中のH/D組成比よりも、生成ガス中のH/D組成比が高くなる。入力ガスのうちこのようにH成分、D成分が消費された後で排出される排出ガスにおいてはD成分が濃縮される。,https://jopss.jaea.go.jp/search/servlet/search?P52620,2021-039878,2022-139472,7720555,2021/03/12,2022/09/26,2025/07/31,B01D 59/38 (2006.01):C01B 4/00 (2006.01):B01D 61/42 (2006.01):B01D 71/02 (2006.01):B01D 61/58 (2006.01):C25B 1/02 (2006.01):C25B 9/00 (2021.01):C25B 9/23 (2021.01):C25B 9/40 (2021.01):4 others...,https://jopss.jaea.go.jp/pdfdata/P1/P52620A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52620A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52620B.pdf,0,
P52621,水素同位体濃縮装置,保田 諭 ; 朝岡 秀人; 松島 永佳*,【課題】水素と重水素の混合ガスから気体状態の重水素を安価に得る。 【解決手段】上側のMEA M1を主体として形成される第1ユニットU1においては前記の第1反応が発生することによって燃料電池として機能すると共に、MEA M1における陽極側ガス室31に供給される入力ガスのD組成が濃縮される。第1入力ガス中のD/H組成比が高められた第1排出ガスがMEA M1の第1ガス室31から排出される。第2ユニットU2は、この第1排出ガスのD濃度を更に高めるために機能する。MEA M2における第1電極11はMEA M1における第1電極11と、MEA M2における第2電極12はMEA M1における第2電極12と、それぞれ電気的に接続されている。第1排出ガス中のD/H組成比が更に高められた第2排出ガスが最終的な出力ガスとしてMEA M2の陽極側ガス室31から排出される。,https://jopss.jaea.go.jp/search/servlet/search?P52621,2021-039879,2022-139473,7672633,2021/03/12,2022/09/26,2025/04/25,B01D 59/42 (2006.01):B01J 23/44 (2006.01):B01J 23/22 (2006.01):B01J 23/847(2006.01):B01J 21/06 (2006.01):C01B 4/00 (2006.01):H01M 8/1004(2016.01):H01M 4/94 (2006.01):H01M 8/00 (2016.01):H01M 8/04 (2016.01),https://jopss.jaea.go.jp/pdfdata/P1/P52621A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52621A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52621B.pdf,0,
P52720,薄膜インダクタ素子及び薄膜可変インダクタ素子,家田 淳一; 山根 結太* ; 深見 俊輔*,【課題】 材料を選ぶ困難性が然程には高くなく、かつ、温度依存性も然程に高くない新しいタイプの創発電磁場を利用した薄膜インダクタ素子を提供することを目的とする。 【解決手段】 磁性体層と、非磁性体層又は反強磁性体層と、が積層された積層膜と、一対の電極を備え、 前記磁性体層と前記非磁性体層又は前記反強磁性体層は、積層方向と直交する方向で任意の形状で延伸され、かつ、前記積層方向の上下向きも任意であり、前記磁性体層は、略一様な磁化構造を有しており、前記一対の電極は、前記積層膜が延伸される両端に設けられ、交流電流ないしは高周波電流が印加されることを特徴とする薄膜インダクタ素子,https://jopss.jaea.go.jp/search/servlet/search?P52720,2021-030176,2022-131304,7580068,2021/02/26,2022/09/07,2024/10/31,H01F 17/00 (2006.01):H01F 21/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52720A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52720A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52720B.pdf,0,
P52481,固化体の作製方法,関 美沙紀 ; 中野 寛子 ; 藤田 善貴 ; 井手 広史; 工藤 勇* ; 末松 久幸* ; Do Thi-Mai-Dung* ; Yang Yaru*,【課題】放射性アルミニウムを含むアルカリ活性材料を固化する場合において、放射性アルミニウムの含有量を増やす技術を提供する。 【解決手段】固化体の作製方法は、アルミニウム合金をアルカリ金属の水酸化物溶液に溶解することによって、アルミニウム溶解液を生成する溶解工程(S1)と、原料としてのアルミニウム溶解液、活性フィラー、及びアルカリシリカ溶液を混錬することによって、アルカリ活性材料を生成する混錬工程(S3)と、アルカリ活性材料を型に充填して養生することによって、固化体を作製する固化工程(S4)を含む。,https://jopss.jaea.go.jp/search/servlet/search?P52481,2020-208604,2022-095334,7601329,2020/12/16,2022/06/28,2024/12/09,C04B 28/26 (2006.01):C04B 22/06 (2006.01):G21F 9/30 (2006.01):B09B 3/25 (2022.01):B09B 5/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52481A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52481A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52481B.pdf,0,
P52320,鋼材,広田 憲亮 ; 橘 幸男; 竹田 貴代子* ; 正木 康浩*,【課題】ISプロセスを実施する環境下においても優れた耐食性を発揮し、かつ良好な加工性および強度を有する鋼材を提供する。 【解決手段】化学組成が、質量%で、C:0.05~0.10%、SI:0.10~0.50%、AL:3.0~6.0%、MN:0.30~1.50%、P:0.05%以下、S:0.02%以下、N:0.01%以下、NI:25.0~40.0%、CR:17.0~25.0%、B:0.0015~0.0080%、TI:0.15~0.60%、残部:FEおよび不純物である、鋼材。,https://jopss.jaea.go.jp/search/servlet/search?P52320,2020-182368,2022-072751,7492259,2020/10/30,2022/05/17,2024/05/21,C22C 38/00 (2006.01):C22C 38/54 (2006.01):C22C 30/00 (2006.01):C22C 30/02 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52320A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52320A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52320B.pdf,0,
P52880,真空部品、これを用いた真空排気方法,神谷 潤一郎; not registered,【課題】ゲッター作用によって排気を行い、最大捕獲分子数が多くかつ使用寿命の長い真空部品を得る。 【解決手段】真空容器10はTIで構成される。この中心軸に沿った部分において、真空容器10の内面10Aよりも十分に小さな電極面20Aを有し中心軸に沿った中空の円筒形状の電極20が設けられている。この真空部品1においては、内部にARを導入して電極面20Aを正電位としてDC放電を発生させる第1の状態、ARを導入せずに電極面20Aを接地電位とする第2の状態、内部にARを導入して電極面20Aを負電位としてDC放電を発生させる第3の状態、のいずれかを実現することができる。この真空部品1による排気は、第2の状態において行われる。また、電極を用いずに400℃以下の加熱をする状態を実現することでも真空部品1による排気が行われる。,https://jopss.jaea.go.jp/search/servlet/search?P52880,2021-122848,2022-027577,7195504,2021/07/28,2022/02/10,2022/12/16,F04B 37/04 (2006.01):H01J 37/18 (2006.01):F04B 37/16 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P52880A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P52880A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P52880B.pdf,0,
