patent_id,title,authors,abstract,detail_url,application_no,publication_no,registration_no,application_date,publication_date,registration_date,ipc,pdf_links,score,matched_keywords
P51840,CARBONATE APATITE WITH HIGH CARBONATE CONTENT,関根 由莉奈 ; 南川 卓也 ; 香西 直文; not registered,"A carbonate apatite highly containing carbonate groups, having excellent heavy metal adsorption capacity is provided. The carbonate apatite contains not less than 15.6% by weight carbonate groups, preferably contains at least one of copper (Cu), zinc (Zn), strontium (Sr), magnesium (Mg), potassium (K), iron (Fe), and sodium (Na), and preferably has a Ca/P molar ratio of not less than 1.5.",https://jopss.jaea.go.jp/search/servlet/search?P51840,16/731234,2020/0215513,11577216,2019/12/31,2020/07/09,2023/02/14,B01J 20/04 (2006.01):C01B 25/16 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P51840A.pdf,5,ai
P51482,PRODUCTION PROCESS OF FINE-GRAINED AUSTENITIC STAINLESS STEEL,広田 憲亮 ; 武内 伴照 ; 中野 寛子; 菊池 淳*,"A process of producing a fine-grained austenitic stainless steel, the process comprising a step of subjecting a fine-grained austenitic stainless steel comprising: C: 0.15 wt % or less, Si: 1.00 wt % or less, Mn: 2.0 wt % or less, Ni: 6.0 to 14.0 wt %, Cr: 16.0 to 22.0 wt %, and Mo: 3.0 wt % or less, with the balance being Fe and inevitable impurities, and having an average grain size of 10 μm or lower, to an annealing treatment at a temperature from 600° C. to 700° C. for 48 hours or longer.",https://jopss.jaea.go.jp/search/servlet/search?P51482,16/578755,2020/0102625,11597982,2019/09/23,2020/04/02,2023/03/07,C22C 38/02 (2006.01):C21D 9/46 (2006.01):C22C 38/44 (2006.01):C22C 38/04 (2006.01):C21D 6/00 (2006.01):C21D 8/02 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P51482A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P51482A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P51482B.pdf,5,ai
P51483,PRODUCTION PROCESS OF FINE-GRAINED AUSTENITIC STAINLESS STEEL,広田 憲亮 ; 武内 伴照 ; 中野 寛子; 菊池 淳*,"A process of producing a fine-grained austenitic stainless steel, said process comprising a step of subjecting a fine-grained austenitic stainless steel comprising: C: 0.15 wt % or less, Si: 1.00 wt % or less, Mn: 2.0 wt % or less, Ni: 6.0 to 14.0 wt %, Cr: 16.0 to 22.0 wt %, and Mo: 3.0 wt % or less, with the balance being Fe and inevitable impurities, and having an average grain size of 10 μm or lower, to an annealing treatment at a temperature from 600° C. to 700° C. for 48 hours or longer.",https://jopss.jaea.go.jp/search/servlet/search?P51483,20195799,20195799,,2019/09/23,2020/03/29,,C22C (2006.01):C22C 38/40 (2006.01):C22C 38/22 (2006.01):C22C 38/02 (2006.01):C21D 6/00 (2006.01):C21D 9/46 (2006.01):C22C 38/58 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P51483A.pdf,5,ai
P50583,METHOD FOR SYNTHESIZING TETRAALKYLNITRILOACETIC ACID DIACETAMIDE COMPOUND,下条 晃司郎 ; 長縄 弘親; not registered,"In synthesis of a compound represented by the General Formula (1) or a salt thereof, nitrilotriacetic acid as its raw material is reacted with a dehydrating agent to allow dehydration, and the resulting nitrilotriacetic acid anhydride is reacted with a dialkylamine to obtain a reaction intermediate product. The reaction intermediate product is then similarly reacted with a dehydrating agent to allow dehydration, and the resulting reaction intermediate anhydride is reacted with a dialkylamine to synthesize a tetraalkylnitriloacetic acid diacetamide compound. In Formula (1), R1, R2, R3 and R4 independently represent the same or different hydrocarbon group, with the proviso that the total number of carbon atoms in the hydrocarbon groups R1, R2, R3, and R4 is 8 to 64.",https://jopss.jaea.go.jp/search/servlet/search?P50583,16/131479,2019/0092718,10494329,2018/09/14,2019/03/28,2019/12/03,C07C 231/02(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P50583A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P50583A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P50583B.pdf,5,ai
P50580,RADIATION-SHIELDING MATERIAL,神谷 潤一郎; 小泉 欧児* ; 那須 昌吾*,"A radiation shielding material that is lighter and has lower installation restrictions than conventional methods, and that exhibits excellent shielding efficiency against radiation in the high energy region. The radiation shielding material comprises a complex containing a fibrous nanocarbon material, a primary radiation shielding particle, and a binder, wherein the fibrous nanocarbon material and the primary radiation shielding particle are dispersed in the binder.",https://jopss.jaea.go.jp/search/servlet/search?P50580,16/464119,2019/0333653,11587691,2018/08/09,2019/02/14,2023/02/21,G21F 1/10 (2006.01):G21F 1/02 (2006.01):G21F 1/08 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P50580A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P50580A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P50580B.pdf,5,ai
P50581,RADIATION-SHIELDING MATERIAL,神谷 潤一郎; 小泉 欧児* ; 那須 昌吾*,"The present invention provides a radiation shielding material that is lighter and has lower installation restriction than conventional methods, and that exhibits excellent shielding efficiency against radiation in the high energy region. The radiation shielding material of the present invention comprises a complex containing a fibrous nanocarbon material, a primary radiation shielding particle, and a binder, wherein the fibrous nanocarbon material and the primary radiation shielding particle are dispersed in the binder.",https://jopss.jaea.go.jp/search/servlet/search?P50581,18843387.4,3667679,3667679,2018/08/09,2019/02/14,2025/02/19,G21F 1/02 (2006.01):G21F 1/10 (2006.01):G21F 7/00 (2006.01):G21F 1/04 (2006.01):G21F 1/08 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P50581A.pdf,5,ai
P50203,"FUNCTIONAL MEMBRANE FOR ION BEAM TRANSMISSION, BEAM LINE DEVICE USING FUNCTIONAL MEMBRANE FOR ION BEAM TRANSMISSION, FILTER DEVICE USING FUNCTIONAL MEMBRANE FOR ION BEAM TRANSMISSION, AND METHOD FOR ADJUSTING FILTER DEVICE",藤田 奈津子; 松原 章浩*,"In order to provide a functional membrane for ion beam transmission whereby ion beam transmittance can be increased and improved emittance can be obtained, the functional membrane for ion beam transmission pertaining to the present invention has a channel and is used in a beam line device through which an ion beam advancing in one direction passes, and is characterized in that the channel axis is essentially parallel to the advancing direction of the ion beam.",https://jopss.jaea.go.jp/search/servlet/search?P50203,18771662.6,3605555,,2018/03/09,2018/09/27,,G21K 1/14 (2006.01):G01T 1/185(2006.01):G21K 1/00 (2006.01):H01J 37/18 (2006.01):H05H 5/06 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P50203A.pdf,5,ai
P14045,OPTICAL DETECTION ELEMENT AND SOLID-STATE IMAGE PICKUP DEVICE,武内 伴照 ; 土谷 邦彦; 上柳 智裕* ; 渡辺 恭志*,A radiation tolerant optical detection element includes: a p-type base-body region; a gate insulating film provided on an upper surface of the base-body region; an n-type buried charge-generation region buried in an upper portion of the base-body region; an n-type charge-readout region buried in an upper portion of the base-body region on the inner-contour side of the buried charge-generation region; an n-type reset-drain region buried on the inner-contour side of the charge-readout region; a transparent electrode provided on the gate insulating film above the buried charge-generation region; and a reset-gate electrode provided on a portion of the gate insulating film between the charge-readout region and the reset-drain region.,https://jopss.jaea.go.jp/search/servlet/search?P14045,15/412154,2017/0133419,9923006,2015/07/23,2016/01/28,2018/03/20,H01L 27/148(2006.01):H01L 27/146(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P14045A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P14045A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P14045B.pdf,5,ai
P13964,NEUTRON DETECTOR,中村 龍也; 片桐 政樹* ; 筒井 紀彰* ; 坂上 敦*,"A neutron detector with a unique neutron detecting element is disclosed. The neutron detecting element has an inner cylindrical neutron scintillator where a neutron detection body including a ZnS phosphor, and a neutron converter material which contains 6Li or 10B is arranged outside of the cylindrical substrate; a scintillator fluorescence detection body made by placing coiled wavelength shift fibers where two wavelength shift fibers are wound in parallel along the cylindrical substrate on said inner cylindrical neutron scintillator; and an outer cylindrical neutron scintillator where a neutron detection body is arranged inside of the cylindrical substrate, the outer cylindrical neutron scintillator being arranged on the scintillator fluorescence detection body. The fluorescence signals converted into pulse signals by two optical detectors are led to a coincidence circuit, and when two fluorescence signals are measured simultaneously during the predetermined period of time, a neutron signal is output.",https://jopss.jaea.go.jp/search/servlet/search?P13964,14/502698,2015/0097122,9268045,2014/09/30,2015/04/09,2016/02/23,G01T 3/06 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P13964A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P13964A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P13964B.pdf,5,ai
P13843,NEUTRON DETECTOR AND NEUTRON IMAGE DETECTOR WITH SCINTILLATOR,中村 龍也 ; 海老根 守澄 ; 美留町 厚 ; 大図 章 ; 片桐 政樹; 寄林 豊* ; 筒井 紀彰*,"A neutron detector without 3He gas, provided with a translucent type plate neutron scintillator having the structure capable to emit fluorescence from double-sides; the neutron scintillator is composed of ZnS fluorescent substance and a neutron converter which contains 6Li or 10B, and arranged at an angle of 45 degrees from the neutrons which are incident in parallel all together, inside of a cylindrical detector housing with the circular or square section where the specular reflector with the reflectance of 90% or more is arranged internally, and the fluorescence emitted when the neutron enters the scintillator is detected by two photo multipliers arranged on both sides, and signals output from these two photo multipliers are processed to be taken out as a neutron signal.",https://jopss.jaea.go.jp/search/servlet/search?P13843,13/943324,2014/0021359,8822943,2013/07/16,2014/01/23,2014/09/02,G01T 3/06 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P13843A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P13843A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P13843B.pdf,5,ai
